module,normal_time,skipkernel_time
Mathlib.Topology.Sheaves.Init,0m1.001s,0m0.997s
Mathlib.Tactic.GCongr.Core,0m2.573s,0m2.663s
Mathlib.Tactic.ArithMult.Init,0m1.019s,0m0.992s
Mathlib.Tactic.Measurability.Init,0m1.001s,0m1.006s
Mathlib.CategoryTheory.Category.Init,0m1.018s,0m0.992s
Mathlib.Tactic.Continuity.Init,0m1.021s,0m1.034s
Mathlib.Data.Sym.Sym2.Init,0m1.024s,0m1.022s
Mathlib.Data.Finset.Attr,0m0.999s,0m1.007s
Mathlib.Data.List.Triplewise,0m1.848s,0m1.691s
Mathlib.Tactic.Finiteness.Attr,0m1.009s,0m0.990s
Mathlib.Tactic.SetLike,0m1.105s,0m1.013s
Mathlib.Data.Int.Order.Basic,0m1.348s,0m0.992s
Mathlib.Tactic.Bound.Attribute,0m1.536s,0m1.491s
Mathlib.Data.ENat.Defs,0m0.971s,0m0.975s
Mathlib.Data.Bool.Basic,0m1.326s,0m1.300s
Mathlib.Data.Tree.Get,0m0.770s,0m0.799s
Mathlib.Data.String.Lemmas,0m1.005s,0m0.979s
Mathlib.Logic.Pairwise,0m1.108s,0m1.084s
Mathlib.Algebra.Notation.Pi.Basic,0m1.531s,0m1.203s
Mathlib.Data.Sigma.Basic,0m1.326s,0m1.217s
Mathlib.Logic.Function.Conjugate,0m1.137s,0m1.090s
Mathlib.Data.Sum.Basic,0m1.297s,0m1.309s
Mathlib.Tactic.Choose,0m1.642s,0m1.504s
Mathlib.Data.Subtype,0m1.216s,0m1.221s
Mathlib.Logic.IsEmpty,0m1.069s,0m1.095s
Mathlib.Data.Nat.Basic,0m1.212s,0m1.093s
Mathlib.Tactic.ArithMult,0m1.116s,0m1.115s
Mathlib.Data.List.Flatten,0m1.088s,0m1.098s
Mathlib.Tactic.GCongr.CoreAttrs,0m0.997s,0m1.027s
Mathlib.Deprecated.Aliases,0m0.682s,0m0.794s
Mathlib.Tactic.GRewrite.Core,0m1.232s,0m1.182s
Mathlib.Lean.Thunk,0m0.780s,0m0.786s
Mathlib.Tactic.Measurability,0m1.232s,0m1.195s
Mathlib.Tactic.Continuity,0m1.106s,0m1.009s
Mathlib.Deprecated.Sort,0m0.801s,0m0.770s
Mathlib.Lean.CoreM,0m0.778s,0m0.764s
Mathlib.Lean.EnvExtension,0m0.669s,0m0.782s
Mathlib.Lean.Exception,0m0.795s,0m0.784s
Mathlib.Lean.Expr,0m0.681s,0m0.790s
Mathlib.Lean.Json,0m0.771s,0m0.800s
Mathlib.Lean.LocalContext,0m0.763s,0m0.786s
Mathlib.Lean.Message,0m0.760s,0m0.687s
Mathlib.Std.Data.HashMap,0m0.759s,0m0.801s
Mathlib.Algebra.Group.Defs,0m3.083s,0m3.226s
Mathlib.Lean.Meta.DiscrTree,0m0.780s,0m0.793s
Mathlib.Tactic.CC.Lemmas,0m0.783s,0m0.784s
Mathlib.Tactic.Relation.Symm,0m0.783s,0m0.797s
Mathlib.Tactic.CategoryTheory.CategoryStar,0m0.765s,0m0.784s
Mathlib.Tactic.Clean,0m0.762s,0m0.784s
Mathlib.Tactic.Change,0m0.892s,0m0.900s
Mathlib.Tactic.Eval,0m0.981s,0m0.990s
Mathlib.Tactic.Explode.Datatypes,0m0.785s,0m0.798s
Mathlib.Tactic.Cases,0m1.285s,0m1.317s
Mathlib.Tactic.GeneralizeProofs,0m2.827s,0m3.067s
Mathlib.Tactic.ExtractLets,0m0.885s,0m0.986s
Mathlib.Tactic.LiftLets,0m0.888s,0m0.920s
Mathlib.Tactic.FindSyntax,0m0.977s,0m1.009s
Mathlib.Tactic.Have,0m0.996s,0m0.985s
Mathlib.Data.List.Pairwise,0m1.084s,0m1.102s
Mathlib.Logic.Function.Iterate,0m1.169s,0m1.082s
Mathlib.Data.Option.Basic,0m1.412s,0m1.429s
Mathlib.Logic.Unique,0m1.096s,0m1.089s
Mathlib.Data.Set.Operations,0m1.722s,0m1.687s
Mathlib.Tactic.IrreducibleDef,0m1.627s,0m1.608s
Mathlib.Data.Char,0m1.001s,0m0.986s
Mathlib.Tactic.ITauto,0m2.344s,0m2.346s
Mathlib.Tactic.Linter.CommandRanges,0m0.792s,0m0.780s
Mathlib.Lean.Meta.CongrTheorems,0m1.825s,0m1.838s
Mathlib.Data.Nat.Find,0m1.500s,0m1.525s
Mathlib.Tactic.GCongr,0m1.004s,0m0.997s
Mathlib.Tactic.Linter.FindDeprecations,0m1.210s,0m1.188s
Mathlib.Data.Nat.Sqrt,0m1.998s,0m1.908s
Mathlib.GroupTheory.EckmannHilton,0m1.086s,0m1.109s
Mathlib.Algebra.PEmptyInstances,0m1.001s,0m1.010s
Mathlib.Algebra.Group.MinimalAxioms,0m1.094s,0m1.097s
Mathlib.Tactic.GRewrite.Elab,0m1.534s,0m1.510s
Mathlib.Algebra.Homology.ComplexShape,0m1.097s,0m1.107s
Mathlib.Algebra.Group.PUnit,0m1.023s,0m1.092s
Mathlib.Algebra.Group.Commutator,0m1.019s,0m0.994s
