rank,module,normal_time,skipkernel_time,time_diff,pct_diff
6462,Mathlib.CategoryTheory.Galois.Decomposition,2.08,2.21,-0.12,-5.7
6463,Mathlib.CategoryTheory.Limits.Shapes.Terminal,2.50,2.65,-0.15,-5.7
6464,Mathlib.Analysis.Calculus.SmoothSeries,4.56,4.83,-0.27,-5.7
6465,Mathlib.Data.Finset.Prod,2.00,2.12,-0.12,-5.7
6466,Mathlib.Tactic.NormNum.Ineq,2.76,2.92,-0.17,-5.7
6467,Mathlib.Algebra.Pointwise.Stabilizer,2.41,2.55,-0.15,-5.7
6468,Mathlib.NumberTheory.KummerDedekind,5.05,5.35,-0.30,-5.7
6469,Mathlib.Tactic.FieldSimp,7.07,7.50,-0.43,-5.7
6470,Mathlib.Analysis.Calculus.ContDiff.FiniteDimension,2.62,2.78,-0.16,-5.7
6471,Mathlib.Data.Finset.Image,2.40,2.55,-0.15,-5.7
6472,Mathlib.AlgebraicGeometry.Morphisms.Proper,2.72,2.88,-0.16,-5.7
6473,Mathlib.LinearAlgebra.Matrix.ToLinearEquiv,2.62,2.78,-0.16,-5.7
6474,Mathlib.NumberTheory.VonMangoldt,1.79,1.90,-0.11,-5.7
6475,Mathlib.Algebra.Star.Subsemiring,1.60,1.70,-0.10,-5.7
6476,Mathlib.CategoryTheory.Shift.Quotient,1.80,1.91,-0.11,-5.7
6477,Mathlib.CategoryTheory.Triangulated.Subcategory,2.41,2.56,-0.15,-5.7
6478,Mathlib.Combinatorics.SimpleGraph.Regularity.Bound,3.77,4.00,-0.23,-5.7
6479,Mathlib.Probability.Independence.Kernel.Indep,3.78,4.01,-0.23,-5.7
6480,Mathlib.Order.Preorder.Chain,1.59,1.69,-0.10,-5.7
6481,Mathlib.Order.Birkhoff,2.00,2.12,-0.12,-5.7
6482,Mathlib.Algebra.Ring.Subring.MulOpposite,1.71,1.81,-0.10,-5.7
6483,Mathlib.Analysis.SpecialFunctions.Log.NegMulLog,2.43,2.57,-0.15,-5.7
6484,Mathlib.RingTheory.FractionalIdeal.Basic,4.33,4.59,-0.26,-5.8
6485,Mathlib.Tactic.NormNum.GCD,2.22,2.36,-0.14,-5.8
6486,Mathlib.MeasureTheory.Integral.IntegrableOn,3.85,4.09,-0.24,-5.8
6487,Mathlib.Tactic.Simproc.Divisors,1.29,1.37,-0.08,-5.8
6488,Mathlib.LinearAlgebra.AffineSpace.Defs,1.01,1.07,-0.06,-5.8
6489,Mathlib.Computability.RegularExpressions,2.00,2.13,-0.12,-5.8
6490,Mathlib.CategoryTheory.Sums.Basic,4.33,4.59,-0.27,-5.8
6491,Mathlib.Logic.Equiv.Set,2.20,2.33,-0.13,-5.8
6492,Mathlib.CategoryTheory.Enriched.HomCongr,1.51,1.60,-0.09,-5.8
6493,Mathlib.GroupTheory.NoncommCoprod,1.80,1.92,-0.11,-5.8
6494,Mathlib.Analysis.Calculus.FDeriv.Prod,12.58,13.36,-0.78,-5.8
6495,Mathlib.Analysis.NormedSpace.Multilinear.Basic,1.82,1.93,-0.11,-5.8
6496,Mathlib.Tactic.Linarith.Oracle.FourierMotzkin,1.51,1.60,-0.09,-5.8
6497,Mathlib.Analysis.Calculus.Deriv.Inv,3.32,3.52,-0.21,-5.8
6498,Mathlib.RingTheory.Noetherian.UniqueFactorizationDomain,1.63,1.73,-0.10,-5.8
6499,Mathlib.Combinatorics.SimpleGraph.Regularity.Chunk,8.15,8.66,-0.51,-5.8
6500,Mathlib.RingTheory.DedekindDomain.PID,3.02,3.21,-0.19,-5.8
6501,Mathlib.Data.Set.Monotone,1.29,1.37,-0.08,-5.8
6502,Mathlib.Order.Defs.PartialOrder,1.31,1.39,-0.08,-5.8
6503,Mathlib.CategoryTheory.FiberedCategory.Grothendieck,2.53,2.68,-0.16,-5.8
6504,Mathlib.CategoryTheory.Monoidal.Functor,8.78,9.33,-0.55,-5.9
6505,Mathlib.Algebra.Module.NatInt,1.59,1.69,-0.10,-5.9
6506,Mathlib.CategoryTheory.Abelian.GrothendieckAxioms.Indization,1.62,1.72,-0.10,-5.9
6507,Mathlib.CategoryTheory.FintypeCat,1.80,1.91,-0.11,-5.9
6508,Mathlib.Analysis.Normed.Group.InfiniteSum,2.00,2.13,-0.12,-5.9
6509,Mathlib.Combinatorics.SimpleGraph.IncMatrix,1.60,1.70,-0.10,-5.9
6510,Mathlib.LinearAlgebra.Matrix.Charpoly.FiniteField,2.08,2.21,-0.13,-5.9
6511,Mathlib.Condensed.Explicit,2.27,2.41,-0.14,-5.9
6512,Mathlib.Topology.Algebra.Module.TransferInstance,1.69,1.80,-0.11,-5.9
6513,Mathlib.Data.Finset.BooleanAlgebra,1.50,1.60,-0.09,-5.9
6514,Mathlib.CategoryTheory.Bicategory.Opposites,1.98,2.10,-0.12,-5.9
6515,Mathlib.CategoryTheory.Bicategory.NaturalTransformation.Pseudo,5.37,5.70,-0.34,-5.9
6516,Mathlib.Condensed.Light.Instances,2.28,2.42,-0.14,-5.9
6517,Mathlib.CategoryTheory.Bicategory.SingleObj,1.61,1.71,-0.10,-5.9
6518,Mathlib.AlgebraicGeometry.Morphisms.UniversallyInjective,2.29,2.44,-0.14,-5.9
6519,Mathlib.RingTheory.Polynomial.Vieta,2.23,2.37,-0.14,-5.9
6520,Mathlib.Order.ModularLattice,1.80,1.91,-0.11,-5.9
6521,Mathlib.Condensed.Light.Basic,1.89,2.01,-0.12,-5.9
6522,Mathlib.CategoryTheory.Preadditive.Projective.Resolution,2.00,2.13,-0.13,-5.9
6523,Mathlib.Probability.Kernel.Invariance,2.03,2.16,-0.13,-5.9
6524,Mathlib.Data.PEquiv,1.49,1.59,-0.09,-5.9
6525,Mathlib.Algebra.Group.Ext,1.41,1.50,-0.09,-5.9
6526,Mathlib.Analysis.Calculus.Deriv.Star,2.74,2.92,-0.17,-5.9
6527,Mathlib.Condensed.Discrete.Colimit,5.29,5.63,-0.33,-5.9
